cycle,phase,y_out
1,000080000000,00006487ee6200
2,000140895e81,0000fbbfb6c1be
3,0001b1f05663,000154d095292f
4,000246df998d,0001c9c9a964cf
5,000289375212,0001fde4a48a0a
6,000306d7cd0d,0002608f6b6e47
7,00039e8dcd3d,0002d7b6b48b3f
8,0004462df78c,00035b5dd4031f
9,0004e33724c6,0003d6b3be55bd
10,00055513d2aa,000430210ccc9f
11,0005bbd27277,000480d311eebf
12,000647ecdb8f,0004eedc76b5e4
13,0006e77696ce,00056c2975b852
14,000762ca4ec5,0005cd05cefbdc
15,0007de8e28bd,00062e3a396b4d
16,000832a72665,00067047098943
17,00088573870a,0006b14e9d432f
18,000910642120,00071e6e178237
19,0009cecccc9d,0007b3fa011cd3
20,000a0983b813,0007e2173d54ae
21,000aa9a7d653,00085fdd735c5c
22,000b6aa62ad5,0008f7710067fb
23,000bd7563eae,00094ccdecb480
24,000c67c572cf,0009be3e19b643
25,000c8509650a,0009d53a3e700b
26,000d1e314c3c,000a4d83f6a2e0
27,000dc52e618a,000ad0aae6c31f
28,000e6c4b34d8,000b53eac28940
29,000ec48a1289,000b993983fdca
30,000f5b0265b6,000c0f672f280f
31,000fd71513ae,000c70d96d289f
32,0010150fdd2a,000ca1871da5a9
33,0010b897be71,000d21f6c5ba8e
34,001127f2554f,000d796badce59
35,00119d06333a,000dd55f65e7f3
36,00120aaa4b15,000e2b7be5df88
37,0012ec9c4bd9,000edcf09cfa71
38,00132635fb4c,000f0a2dc4f358
39,0013c7b9a18f,000f8907e880b3
40,00145bcd60b7,000ffd545c0f10
41,0014ae7d945c,00103e45b239f4
42,001544de3789,0010b460a33d85
43,0015e8233ed0,0011349baa0a24
44,001628c7fc51,00116760e5efe9
45,0016861d7f0c,0011b0aea540f0
46,00176457edc8,00125f37db599b
47,00179ef2ed3d,00128d3f10d0a7
48,00183f05007e,00130af6d6649a
49,00189cd9e739,001354a89adb30
50,001969ebf6d3,0013f5b803a479
51,0019bc148878,0014363ec1c1e6
52,001a248b4b49,0014884a364e93
53,001a950caf2a,0014e0a67b2797
54,001b433f3886,001569767a9f10
